"","nombre_promocional","nombre_urbanistico","latitud","longitud","direccion","municipio","provincia","comunidad_autonoma","tipologia_asentamiento_principal","tipologia_asentamiento_secundario","fuente","enlace_web","enlance_a_mapa_foto_aerea","fecha_autor_fuente_de_la_foto","padre_adoptivo","superficie_terreno","superficie_construida","suelo_ocupado_actual","viviendas_construidas","plazas_hoteleras_construidas","parcelas_uso_industrial_construidas","parcelas_uso_comercial_construidas","parcelas_uso_equipamiento_construidas","estado_actual","comentarios_otras_opciones","promotor","constructor","arquitecto_o_tecnico_redactor","descripcion_propiedad","ubicacion_codigo_ine_municipio","ubicacion_codigo_ine_provincia","uso","comentarios_otros","tipologia_edificatoria","comentarios_tipologia","edificabilidad_absoluta_planificada_o_aprobada","viviendas_aprobadas_en_planeamiento","plazas_hoteleras_aprobadas_en_planeamiento","parcelas_uso_industrial_aprobadas_en_planeamiento","parcelas_uso_comercial_aprobadas_en_planeamiento","parcelas_uso_equipamiento_aprobadas_planeamiento","numero_habitantes_previsto_planeamiento","numero_de_visitantes_previsto_aplicable_centros_de_ocio_planeamiento","convenio_urbanistico_planeamiento_fecha_licencia","plan_parcial_planeamiento_fecha_licencia","modificacion_pgou_planeamiento_fecha_licencia","proyecto_urbanistico_planeamiento_fecha_licencia","licencia_obras_planeamiento_fecha_licencia","otras_fechas_planeamiento_fecha_licencia","convenio_urbanistico_planeamiento_tecnico_redactor","plan_parcial_planeamiento_tecnico_redactor","modificacion_pgou_planeamiento_tecnico_redactor","proyecto_urbanistico_planeamiento_tecnico_redactor","licencia_obras_planeamiento_tecnico_redactor","otros_planeamiento_tecnico_redactor","convenio_urbanistico_politica","plan_parcial_urbanistico_politica","modificacion_urbanistico_politica","proyecto_urbanistico_politica","licencia_urbanistico_politica","otros_urbanistico_politica","recursos_interpuestos","sentencias_judiciales","n_fecha_sentencias","tribunal_dicta","fallo","hipoteca_cargas","cuantia_hipoteca","concurso_acreedores","entidades_financieras","figuras_proteccion_ambiental","nombre_figuras_proteccion_ambiental","zonificacion_nivel_proteccion","dominio_publico","enlaces_noticias","material_grafico","archivos_adjuntos","-","corpse_category","superficie_terreno_units","superficie_construida_units"
"84","Sector Ur-R9","Sector Ur-R9","40.9576897","-5.7426617","Calle 6 (centroide del sector)","Doñinos de Salamanca","Salamanca","Castilla y León","NOE - Nuevo desarrollo urbano",,"Geografía Salamanca","http://campus.usal.es/~geografia/index.html, http://cadaveresinmobiliarios.org/2016/04/14/el-proyecto-cadaveres-inmobiliarios-en-la-ensenanza-universitaria/","http://www.ign.es/iberpix2/visor/?&visible=VEC;OI.OrthoimageCoverage&x=269139.11&y=4537622.84&level=17&srid=25830","IGN-PNOA 2014","Geografía Salamanca",15.3425,"115068","75","307","0","0","0","2","Urbanización terminada","Plan Parcial con chalets adosados y pareados. Tiene zonas de equipamiento y dotaciones públicas. Hay edificaciones no terminadas en distintos estados (ver foto aérea)","Construcciones MEDINA-DURÁN S.A.","Construcciones MEDINA-DURÁN S.A.","Javier Gil","-","37117","37","Residencial Unifamiliar","Alberga viviendas casi terminadas, otras en construcción y otras sólo la estructura. También tiene solares.","Vivienda unifamiliar pareada o adosada",,"53156","307",,,,"2","1074.5",,,"27/04/2004","27/04/2004",,,,,,"Javier Gil Santos & CASTINSA","Lourdes Raymundo y Lorenzo Muñoz",,,,,,,,,,,,,,,,,,,,,,,"http://www.salamanca24horas.com/local/71867-cinco-anos-despues-del-pinchazo",,,"Adoptado","area_hectares","area_square_meters"
"85","El Marín I","Plan Parcial del Sector Marín I de la modificación puntual nº 1 del PGOU de Salamanca","40.9613136","-5.6944916","Calle Antonio Colinas (centroide del sector)","Salamanca","Salamanca","Castilla y León","NOE - Nuevo desarrollo urbano",,"Geografía Salamanca","http://campus.usal.es/~geografia/index.html, http://cadaveresinmobiliarios.org/2016/04/14/el-proyecto-cadaveres-inmobiliarios-en-la-ensenanza-universitaria/","http://www.ign.es/iberpix2/visor/?&visible=VEC;OI.OrthoimageCoverage&x=273234.54&y=4537985.54&level=16&srid=25830","IGN-PNOA 2014","Geografía Salamanca",30.1854,"0","0","0","0","0","0","0","Urbanización terminada","Plan Parcial. El viario está concluido. No se ha comenzado ninguna edificación, salvo la gasolinera REPSOL junto al acceso a la autovía","Inmobiliaria El Marín S.A.",,"Javier Rey Harguindey","-","37224","37","Residencial Colectivo","Hay una estación de servicio","Edificación en Manzana Cerrada",,"138526","1439","4473,62 m2",,"5000 m2","3 (627,86 m2)",,,,"06/03/2008","17/11/2009",,,,,,,,,,,,,,,,,,,,,,,,,,,,," ",,,,"Adoptado","area_hectares","area_square_meters"
"86","La Platina","Plan Parcial de Ordenación del Sector 77 ""La Platina""","40.9682629","-5.6894841","Calle Sector (centroide del sector)","Salamanca","Salamanca","Castilla y León","NOE - Nuevo desarrollo urbano",,"Geografía Salamanca","http://campus.usal.es/~geografia/index.html, http://cadaveresinmobiliarios.org/2016/04/14/el-proyecto-cadaveres-inmobiliarios-en-la-ensenanza-universitaria/","http://www.ign.es/iberpix2/visor/?&visible=VEC;OI.OrthoimageCoverage&x=273841.32&y=4538713.90&level=16&srid=25830","IGN-PNOA 2014","Geografía Salamanca",50.183,"0","0","0","0","0","0","0","Urbanización terminada","Plan Parcial. El viario está concluido. No se ha comenzado ninguna edificación.","Patronato de Vivienda y Urbanismo - Ayuntamiento de Salamanca",,"Enrique Porto Rey","-","37224","37","Residencial Colectivo","Se preveía terciario comercial","Edificación en Manzana compacta","Previsión de bloques adosados","214524","1910","0","0","0","35754m2",,,,"02/05/2001",,,,,,"Enrique Porto Rey",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Adoptado","area_hectares","area_square_meters"
"87","Urbanización Santa Lucía","Plan Parcial Sector UBZ 12","40.9518409","-5.5770332","Calle Cervantes (centroide del sector)","Pelabravo","Salamanca","Castilla y León","NEU - Nueva entidad urbana",,"Geografía Salamanca","http://campus.usal.es/~geografia/index.html, http://cadaveresinmobiliarios.org/2016/04/14/el-proyecto-cadaveres-inmobiliarios-en-la-ensenanza-universitaria/","http://www.ign.es/iberpix2/visor/?&visible=VEC;OI.OrthoimageCoverage&x=283166.61&y=4536611.57&level=17&srid=25830 ","IGN-PNOA 2014","Geografía Salamanca",6.2169,"12387","20","48","0","0","0","0","Edificación terminada con uso parcial","Urbanización aislada con chalets exentos y adosados. También bloques de viviendas.Hay parcelas sin edificar aún y también edificación terminada sin uso"," ","Gonzalez y Santiago 2000 S.L.","Helena Herrero Rodríguez","-","37240","37","Residencial Unifamiliar","También hay residencial colectivo","Vivienda unifamiliar pareada o adosada","Hay bloques y viviendas unifamiliares aisladas y adosadas","137766","304","0","0","0","0","760",,,"20/10/2006"," "," ",," ",,,"Helena Herrero Rodríguez",,,,,,,,,,,,,,,,,,,,,,,,,,,"Adoptado","area_hectares","area_square_meters"
"88","Señorío de Tormes","Sector 14 de las Normas Subsidiarias","40.9967087","-5.7212931","Avenida del Canto 9 (centroide del sector)","Villamayor de Armuña","Salamanca","Castilla y León","NEU - Nueva entidad urbana",,"Geografía Salamanca","http://campus.usal.es/~geografia/index.html, http://cadaveresinmobiliarios.org/2016/04/14/el-proyecto-cadaveres-inmobiliarios-en-la-ensenanza-universitaria/","http://www.ign.es/iberpix2/visor/?&visible=VEC;OI.OrthoimageCoverage&x=270977.91&y=4541852.39&level=17&srid=25830","IGN-PNOA 2014","Geografía Salamanca",3.829,"13003","33.9",,,,,,"Edificación terminada con uso parcial","Urbanización de viviendas unifamiliares adosadas. Quedan parcelas sin edificar. Hay viviendas ocupadas y otras sin ocupar","Grupo MRS - Mariano Rodríguez Sánchez","Grupo MRS",,"-","37354","37","Residencial Unifamiliar",,"Vivienda unifamiliar pareada o adosada",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"F2.602-039/2111","Actuaciones Medioambientales en el río Tormes a su paso por el T.M. de Villamayor (Salamanca)","Recuperación de los márgenes del río.",,"http://www.alimarket.es/noticia/82476/La-propietaria-del--Dona-Brigida--entra-en-concurso

http://www.elnortedecastilla.es/salamanca/201412/04/plan-general-urbanismo-villamayor-20141204121005.html

http://elecciones.lainformacion.com/municipales/1995/castilla-y-leon/salamanca/villamayor.html
",,,,"Adoptado","area_hectares","area_square_meters"
"89","Vega de Salamanca (corredor Doña Brígida)","Sector 14 de las Normas Subsidiarias","40.9846466","-5.7107013","Avenida del Río Tormes 2 (centroide del sector)","Villamayor de Armuña","Salamanca","Castilla y León","NEU - Nueva entidad urbana","DEO - Desarrollo ligado a instalaciones de ocio","Geografía Salamanca","http://campus.usal.es/~geografia/index.html, http://cadaveresinmobiliarios.org/2016/04/14/el-proyecto-cadaveres-inmobiliarios-en-la-ensenanza-universitaria/","http://www.ign.es/iberpix2/visor/?&visible=VEC;OI.OrthoimageCoverage&x=271655.02&y=4540655.82&level=16&srid=25830","IGN-PNOA 2014","Geografía Salamanca",10.2135,"7933","7.76",,,,,,"Edificación terminada con uso parcial","Urbanización de viviendas unifamiliares aisladas. Quedan parcelas vacías y hay viviendas sin terminar.","Grupo MRS - Mariano Rodríguez Sánchez","Grupo MRS",," ","37354","37","Residencial Unifamiliar",,"Vivienda unifamiliar aislada","Hay vivienda unifamiliar adosada",,,,,,,,,,"01/01/1997",,,,,,"Javier Catarineu y Francisco Javier García Delgado",,,,,,,,,,,,,,,,,,,,,,,," ",,,,"Adoptado","area_hectares","area_square_meters"
"90","Residencial Helmántico siglo XXI","Plan Parcial U3-Ur","40.9948833","-5.6668963","Avenida del Helmántico 28 (centroide del sector)","Villares de la Reina","Salamanca","Castilla y León","NEU - Nueva entidad urbana","DEO - Desarrollo ligado a instalaciones de ocio","Geografía Salamanca","http://campus.usal.es/~geografia/index.html, http://cadaveresinmobiliarios.org/2016/04/14/el-proyecto-cadaveres-inmobiliarios-en-la-ensenanza-universitaria/","http://www.ign.es/iberpix2/visor/?&visible=VEC;OI.OrthoimageCoverage&x=275534.69&y=4541637.21&level=17&srid=25830","IGN-PNOA 2014","Geografía Salamanca",15.5989,"2066","1.32",,,,,,"Edificación no terminada","Proyecto de urbanización de viviendas unifamiliares y bloques en manzana compacta. Apenas cinco edificios terminados. El resto de las parcelas están vacías.",,"Junta de Compensación",,"¡TU PARCELA O CHALET EN LA CIUDAD! Frente Estadio Helmántico! Un sitio inmejorable para vivir. En la mejor zona de Salamanca por proximidad a la ciudad, por accesos desde las diferentes autovias y carreteras, muy próxima a centros comerciales, colegios, parada de autobus, etc. Amplias calles y avenidas, zonas verdes, equipamientos... Urbanización SIN GASTOS DE COMUNIDAD","37362","37","Residencial Unifamiliar",,"Vivienda unifamiliar pareada o adosada","Se preveía edificación en manzana compacta","13225"," ",,,,,,,,"28/02/2008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Adoptado","area_hectares","area_square_meters"
"91","Entre Ciudades","Plan Parcial E2-Ur","41.0059771","-5.6453491","Calle La Coruña, Calle Madrid, Calle Bilbao","Villares de la Reina","Salamanca","Castilla y León","NOE - Nuevo desarrollo urbano",,"Geografía Salamanca","http://campus.usal.es/~geografia/index.html, http://cadaveresinmobiliarios.org/2016/04/14/el-proyecto-cadaveres-inmobiliarios-en-la-ensenanza-universitaria/","http://www.ign.es/iberpix2/visor/?&visible=VEC;OI.OrthoimageCoverage&x=277635.75&y=4542853.74&level=17&srid=25830","IGN-PNOA 2014","Geografía Salamanca",11.6746,"1653","1.41",,,,,,"Edificación terminada con uso parcial","Plan parcial de viviendas unifamiliares adosadas. Hay parcelas sin edificar y viviendas ocupadas y otras sin ocupar.",,"Junta de Compensación","Francisco Ledesma García","-","37362","37","Residencial Unifamiliar",,"Vivienda unifamiliar pareada o adosada",,"54922","329",,,,,,,,"20/12/2003",,,,,,"Francisco Ledesma García",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Adoptado","area_hectares","area_square_meters"
"92","Vallfosca Mountain y Golf Resort"," sectores SAU E1, SAU E2 y UA E2 de Espui, Domini Esquiable de Filià","42.454172"," 0.988527","Ctra L-530 Espui","La Torre de Cabdella","Lleida","Cataluña","DEN - Desarrollo ligado a espacios naturales",,"Ruinas Modernas, Mediturban","http://www.juliaschulzdornburg.com/cas/vallfosca-mountain-golf-resort","http://www2.ign.es/iberpix/visoriberpix/visorign.html?x=334128&y=4702232&zone=31&r=930&visible=PNOA;","IGN-PNOA fecha vuelo: 06-2012","Ruinas Modernas",1264.6005,,,,,,,,,,"Vallfosca Interllacs S.A, Fadesa ","Fadesa","Alonso Balaguer y arqs asociados (proyecto hotelero)","30 km de pistas de ski, 900 viviendas de segunda residencia, 2.200 plazas hoteleras, un campo de golf, un spa con capacidad para 1000 personas y un centro de convenciones, 189 cañones de nieve, 2.200 plazas de aparcamiento subterráneas   ",,,,,,,,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Adoptado","area_hectares","area_square_meters"
"93","El Mirador del Ebro","DUB-1 La Palma","40.722670"," 0.588321"," N-340, 2 43896","L'Aldea","Tarragona","Cataluña","NEU - Nueva entidad urbana",,"Ruinas Modernas, Mediturban, Nación Rotonda","http://www.juliaschulzdornburg.com/cas/mirador-del-ebro, http://www.nacionrotonda.com/2013/09/amposta-tarragona.html","http://www2.ign.es/iberpix/visoriberpix/visorign.html?x=295836&y=4510878&zone=31&r=930&visible=PNOA;","IGN-PNOA fecha vuelo: 06-2012","Ruinas Modernas",125.5,,,"170",,,,,"Edificación no terminada",,"Fadesa Inmobiliaria S.A.
","Fadesa",,"Un lugar sin precedentes para vivir y para disfrutar del ocio a otro nivel, un lugar diferente",,,"Residencial Colectivo","residencial unifamiliar","Bloque exento","vivienda colectiva bloque abierto, torres de baja altura y “poblado mediterráneo”. Viviendas unifamiliares aisladas o adosadas","200000","1000",,,,,"3500",,,"08/07/2005",,,,,,"Eduardo Leira, i3 Consultores S.A. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Adoptado","area_hectares","area_square_meters"
"94","Urbanización Port Olivet","Sector G-5 Port Olivet","40.868648"," 0.784298","Polígono 15, Porta-Olivet","L'Ametlla de Mar","Tarragona","Cataluña","NEU - Nueva entidad urbana",,"Ruinas Modernas","http://www.juliaschulzdornburg.com/cas/urbanizacion-port-olivet","http://www2.ign.es/iberpix/visoriberpix/visorign.html?x=313558.2986&y=4526605.4343&zone=31&r=930&visible=PNOA;",,"Ruinas Modernas",66.01,,,"0",,,,,"Urbanización terminada","edificación sin construir","Port Olivet 2000 S.L.
",,,,,,"Residencial Unifamiliar","admite uso hotelero","Vivienda unifamiliar aislada",,"52423","66",,,,,"231",,,"00/06/2000",,,,,,"Urbano Rifaterra Espallargas
",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Adoptado","area_hectares","area_square_meters"
"95","Poligono industrial Mas d'en Pi",,"41.571133"," 1.786726","Autovia A-2 Km 572","Els Hostalets de Pierola","Barcelona","Cataluña","ZIA - Zona industrial aislada",,,"http://ptop.gencat.cat/rpucportal/AppJava/cercaExpedient.do?reqCode=veure&codintExp=96368&fromPage=load",,,"david marti",26.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"http://ptop.gencat.cat/rpucportal/AppJava/cercaExpedient.do?reqCode=veure&codintExp=96368&fromPage=load",,"Adoptado","area_hectares","area_square_meters"
"96","Teatro Auditorio de Torredembarra","Teatro Auditorio de Torredembarra","41.144230"," 1.408147","Carrer dels Boters, 1 ","Torredembarra","Tarragona","Cataluña","DEO - Desarrollo ligado a instalaciones de ocio",,,"http://pobleviu.cat/wp-content/uploads/2013/03/sha-de-fer-b%C3%A9.pdf",,,"Ferran Caymel",0.18,,,,,,,,"Edificación no terminada","Es uno de los cadáveres más representativos de ayuntamientos gobernados por CiU. Años y años de retrasos, demoras y gasto público exagerado y disperso, por decirlo suavemente.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Adoptado","area_hectares","area_square_meters"
"97","Rotonda zona industrial Can Terrers","B7 Can Terrers","41.667494173570546","2.285478115081787","Carrer de Barcelona / C. del Mil·lenari de Catalunya","La Garriga","Barcelona","Cataluña","ZIP - Zona industrial vinculada a población",,"Nación Rotonda",,"http://www.ign.es/wmts/pnoa-ma?SERVICE=WMTS&REQUEST=GetTile&VERSION=1.0.0&LAYER=OI.OrthoimageCoverage&STYLE=default&TILEMATRIXSET=EPSG%3A25830&TILEMATRIX=17&TILEROW=17303&TILECOL=19023&FORMAT=image%2Fjpeg","IGN-PNOA fecha vuelo: 06-2012","eliadelom",,,,"0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Adoptado","area_hectares","area_square_meters"
"98","Auditori Corró d'Avall","Teatre Auditori de Corró d'Avall","41.63151457197002","2.2997045516967773","C. Tagamanent / Pl. de Can Prat / C. 11 Setembre","Les Franqueses del Vallès","Barcelona","Cataluña","TEP - Terciario vinculado a población",,,"http://www.lesfranqueses.cat/actualitat/noticies/2013/04/25/comenca-el-proces-participatiu-del-centre-cultural-de-corro-d-8217-avall",,,"eliadelom",0.6943,,,,,,,,"Edificación no terminada","Edificio de teatro auditorio de tamaño desmesurado a medio construir",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Adoptado","area_hectares","area_square_meters"
"99","Polígono industrial Sector N","Sector N","41.61757589746893","2.3121070861816406","C-251","Les Franqueses del Vallès","Barcelona","Cataluña","ZIA - Zona industrial aislada",,,"https://www.lesfranqueses.cat/fitxer/6561/mem_ria_pla_parcial_sector_n.pdf",,,"eliadelom",43.6456,,,,,,,,"Urbanización no terminada","Polígono industrial a medio construir, mientras hay otros polígonos en el municipio de les Franqueses con muchas parcelas libres",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://www.lesfranqueses.cat/fitxer/6561/mem_ria_pla_parcial_sector_n.pdf",,"Adoptado","area_hectares","area_square_meters"
"100","Rotonda de Marata","rotonda a la intersecció entre la BV-5151 i el Camí Vell de Marata","41.64745453951778","2.3152828216552734","C-BV5151 / Antic Camí de Marata","Les Franqueses del Vallès","Barcelona","Cataluña","TIA - Infraestructuras de impacto territorial ",,,"http://www.lesfranqueses.cat/actualitat/noticies/2014/07/10/preparat-el-projecte-de-rotonda-a-la-interseccio-del-cami-vell-de-marata-i-la-carretera-bv-5151",,,"eliadelom",0.227,,,,,,,,"Proyecto tramitado (no iniciado)","Proyecto de rotonda en plena zona rural, completamente fuera de medida",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Adoptado","area_hectares","area_square_meters"
"101","Can Colomer","Can Colomer","41.583382"," 2.002781","Avda Lacetania - Crta Rellinars","Terrassa","Barcelona","Cataluña","NOE - Nuevo desarrollo urbano",,,,"https://www.google.es/maps/place/41%C2%B035'00.2%22N+2%C2%B000'10.0%22E/@41.5819593,1.9998797,722m/data=!3m1!1e3!4m2!3m1!1s0x0:0x0?hl=en",,"Toni Quirante",47.48,,,,,,,,"Urbanización no terminada","Se realizó la urbanización y se llegó a construir algún bloque en la carretera Rellinars, pero a casi 1 km de distancia del nucleo poblado. Solo está abierto al tráfico la carretera Rellinars, mientras que las calles secundarias estan cerradas al trafico rodado. Se urbanizaron algunas vias pero se paralizó y no está totalmente completada la urbanización.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Adoptado","area_hectares","area_square_meters"
"102","Terreno abandonado",,"41.3746428940668","2.131825089454651","Carrer del Tinent Flomesta esquina con Carrer de Caceres","Barcelona","Barcelona","Cataluña",,,,"
",,,"Agraontour",,,,,,,,,"Proyecto tramitado (no iniciado)","Terreno abandonado probablemente por quiebra de sucesivas empresas. Fuente de basura y ratas.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Adoptado","area_hectares","area_square_meters"
"103","Esqueleto",,"41.54473787608095","2.264009714126587","Av Ernest Lluch","Montornés del Vallés","Barcelona","Cataluña","NOE - Nuevo desarrollo urbano",,,,,,"Adrián Pj",,,,,,,,,"Edificación no terminada","Es un esqueleto de lo que iban a ser dos bloques de pisos, pero que se han quedado en los huesos.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Adoptado","area_hectares","area_square_meters"
"104","Promocions Moix","Antigua fabrica de papel","41.45330545750486","1.7015022039413452","Plaça de les Misions","Sant Pere de Riudebitlles","Barcelona","Cataluña","NOE - Nuevo desarrollo urbano",,,,,,"David Ribas",,,,,,,,,"Edificación no terminada","Infraestructura por terminar. Mas que cadáver seria esqueleto de un bloque de pisos, justo al lado del barrio antiguo rodeado de casas tradicionales unifamiliares. Urbanisticamente la ubicación es dudosa por el ancho de la calle en la parte norte.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Adoptado","area_hectares","area_square_meters"
"105","Avinguda de la Ciutat Jardí",,"41.621820"," 0.603043","Avinguda de la Ciutat Jardí","Lleida","Lleida","Cataluña","NOE - Nuevo desarrollo urbano",,,,,,"@la_veina",30,,,,,,,,"Edificación no terminada","Esta espacio antiguamente perteneciente a la Horta de Lleida, espacio agrario y de viviendas populares, se urbanizó para seguir ampliando el barrio de Ciutat Jardí, nacido del primer boom inmobiliario, formado única y exclusivamente por casa unifamiliares. En esta zona se han construido algunas viviendas unifamiliares pero la mayor parte del terreno urbanizado está sin construir, con el consiguiente deterioro de la urbanización y las infraestructuras ahí construidas.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Adoptado","area_hectares","area_square_meters"
"106","Urbanización Bella Rotja","Sector Penya Roja","38.835078"," -0.073919","Urbanización Penya Roja, 261. 03789 ","Pego","Alicante","Comunidad Valenciana","NEU - Nueva entidad urbana",,"Ruinas Modernas, Mediturban","http://www.juliaschulzdornburg.com/cas/urbanizacion-bella-rotja","http://www2.ign.es/iberpix/visoriberpix/visorign.html?x=754180&y=4302694&zone=30&r=930&visible=PNOA;","IGN-PNOA fecha vuelos: 06-2014","Ruinas Modernas",198.798161,,,,,,,,"Urbanización no terminada","edificación no terminada","Urbanizadora Penya Roja S.A, Martinsa Fadesa S.A.","Fadesa",,,,,"Residencial Colectivo",,"Bloque adosado",,"298355.93","1949",,,,,,,,,,,,"PAI, octubre 2001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Adoptado","area_hectares","area_square_meters"
"107","Aeropuerto de Castellón-Costa Azahar",,"40.2043933","0.0337955","Aeroport de Castelló, Carretera CV-13, Km 2.4, 12181","Benlloch","Castellón","Comunidad Valenciana","TIA - Infraestructuras de impacto territorial ",,"6000km","http://www.6000km.org/localizaciones/aeropuerto-de-castellon/",,,"@montera34",542.3,,,,,,,,"Edificación terminada sin uso",,,,,,,,"Dotacional Infraestructuras",,"Otros","AL ser un aeropuerto está compuesto por la terminal y la pista.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Adoptado","area_hectares","area_square_meters"
"108","Victor de la Serna",,"38.349183"," -0.516133","Calle Victor de la Serna, 33","Alicante","Alicante","Comunidad Valenciana","NOE - Nuevo desarrollo urbano",,,,,,"Adrián Porto",0.08,,,,,,,,"Inicio de los trabajos","Porque se trata de una estructura de hormigón abandonada que iba a ser destinada a casas pero por la crisis y sucesivas del colegio contiguo a la parcela se abandonó su construcción",,,,,,,"Residencial Colectivo",,"Edificación en Manzana compacta",,,"28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Adoptado","area_hectares","area_square_meters"
"109","Urbanización Balcón al Mar","Urbanización Balcón al Mar","39.00751287258596","-0.20260334014892578",,"Xeresa","Valencia","Comunidad Valenciana","DEO - Desarrollo ligado a instalaciones de ocio",,,"http://www.youtube.com/watch?v=RTBXeFYGlc4",,,"Vicente Greus",15.6,,,,,,,,"Urbanización no terminada","«Balcón al mar», un proyecto que preveía la construcción de 160 viviendas adosadas de lujo en la zona donde estaba ubicado el antiguo camping Caudeli, con una extensión de 156.000 metros cuadrados. La crisis provocó que muchos de los compradores que ya tenían firmado el contrato se echaran atrás y la promotora se vio obligada a parar las obras. El proyecto lo llevaba a cabo la promotora Key Vil V, cuyos socios eran varios bancos holandeses y de la que formaba parte el exjugador y exentrenador Johan Cruyff. En el momento de la paralización estaba concluida la primera fase, formada por 86 apartamentos y empezada la segunda, con 79.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Adoptado","area_hectares","area_square_meters"
"110","Residencial Las Dunas Costa","Suelo Urbanizable Residencial","38.938299","  -0.107792","Avinguda dels Llauradors","Oliva","Valencia","Comunidad Valenciana","NOE - Nuevo desarrollo urbano",,"Campo, Planeamiento Generalitat Valenciana, SIG",,,,"@equipoliquen",41,,,,,,,,"Edificación no terminada","Nuevo desarrollo urbanizado y parcialmente edificado. Imagen pic.twitter.com/BsecMJTTtQ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,," http://pic.twitter.com/BsecMJTTtQ",,"Adoptado","area_hectares","area_square_meters"
"111","Urbanización San Antonio","Area de planeamiento incorporado 5 sector 16 San Antonio del PGOU de Peñiscola","40.351765"," 0.365986","Calle del Pou","Peñiscola","Castellón","Comunidad Valenciana","NOE - Nuevo desarrollo urbano","DEN - Desarrollo ligado a espacios naturales","UPM","Pendiente de respuesta","http://www2.ign.es/iberpix/visoriberpix/visorign.html?x=276303.9089&y=4470117.5554&zone=31&r=166.5&visible=PNOA;FOTOS;","Vuelo Pnoa 07/12","Javier Arevalo Lecanda",1.3088,"12838",,"95","0","0","0","0","Edificación terminada sin uso",,"Ayuntamiento de Peñiscola",,,"Suelo urbanizable ordenado transitorio","89","12","Residencial Turístico",,"Edificación en Manzana compacta",,,"95",,,,,,,,"22/07/2002",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Adoptado","area_hectares","area_square_meters"
"112","Oficinas La Patacona",,"39.48494038414119","-0.32863497734069824",,"Alboraya","Valencia","Comunidad Valenciana","TEP - Terciario vinculado a población",,,,,,,,,,,,,,,"Edificación terminada sin uso",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Adoptado","area_hectares","area_square_meters"
"113","Parque Empresarial Maigmó","MAIGMO Fase I - Tibi","38.52538298794726","-0.6165958642304758",,"Tibi","Alicante","Comunidad Valenciana","ZIA - Zona industrial aislada",,,"http://www.sepiva.es/parques/el_maigmo_f, http://www.escaparatedigital.com/noticia_detalle.php?id=ENNtj1mT5302Z3EfeT4DS1G7dBxV2XsopkzOlt3eHx8x&iVR=4, http://www.diarioinformacion.com/alcoy/2010/07/10/consell-reduce-precios-activar-parque-industrial-tibi/1025986.html",,,"armarpe",11.5632,,,,,,,,"Edificación no terminada","Polígono promocionado por la extinta SEPIVA (Sociedad para la Seguridad y Promoción Industrial Valenciana) la inversión realizada para la urbanización de este parque industrial superó los 3 millones de euros. Inaugurado en 2006 por el entonces conseller de Empresa, Universidad y Ciencia de la Generalitat Valenciana, Justo Nieto, y el alcalde de Tibi, actualmente no se ha ocupada ninguna parcela, y eso que han modificado el pliego de las condiciones para la cesión de suelo.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"http://www.sepiva.es/pfw_files/cma/parques/P.E.%20Infraestructuras%20Industriales/parcelarios/maigmo.jpg",,"Adoptado","area_hectares","area_square_meters"
